RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6411278	009228	1129220515	455.39	
6411279	009229	1129220531	435.02	
6411280	009230	1129220534	476.06	
6411281	009231	1129220541	439.51	
6411282	009232	1129220831	433.66	
6411283	009233	1129220834	428.42	
6411284	009234	1129220904	394.12	
6411285	009235	1129221013	484.39	
6411286	009236	1129221016	436.37	
6411287	009237	1129221107	434.33	
6411288	009238	1129221108	427.96	
6411290	009240	1129221202	479.27	
6411291	009241	1129221207	443.88	
6411292	009242	1129221235	500.2	
6411293	009243	1129221307	495.37	
6411294	009244	1129221316	501.82	
6411295	009245	1129221412	500.2	
6411299	009249	1129221512	469.62	
6411300	009250	1129221604	431.58	
6411301	009251	1129221701	449.08	
6411302	009252	1129221704	474.43	
6411303	009253	1129221712	430.46	
6411304	009254	1129221838	469.62	
6411305	009255	1129221915	442.91	
6411306	009256	1129222120	437.04	
6411307	009257	1129222214	435.02	
6411308	009258	1129222303	435.02	
6411309	009259	1129222306	435.02	
6411310	009260	1129222312	492.16	
6411311	009261	1129222408	439.51	
6411312	009262	1129222412	472.84	
6411313	009263	1129223206	443.61	
6411314	009264	1129223210	443.21	
6411315	009265	1129223211	443.21	
6411316	009266	1129223212	440.38	
6411317	009267	1129223213	440.38	
6411318	009268	1129223217	436.42	
6411319	009269	1129223224	436.42	
6411320	009270	1129223226	469.62	
6411321	009271	1129223228	436.42	
6411322	009272	1129223301	449.03	
6411323	009273	1129223305	472.84	
6411326	009276	1129223320	479.27	
6411328	009278	1129223325	454.03	
6411329	009279	1129223326	488.93	
6411331	009281	1129223407	480.88	
6411332	009282	1129223420	435.02	
6411333	009283	1129223421	435.02	
6411335	009285	1129223504	437.04	
6411336	009286	1129223506	435.02	
6411337	009287	1129223507	435.02	
6411338	009288	1129223514	435.02	
6411341	009291	1129223613	436.42	
6411342	009292	1129223614	436.42	
6411344	009294	1129223709	432.86	
6411345	009295	1129223808	479.27	
6411346	009296	1129223905	435.02	
6411347	009297	1129224005	485.72	
6411348	009298	1129224104	440.89	
6411349	009299	1129224109	441.57	
6411351	009301	1129224119	508.25	
6411353	009303	1129224210	437.77	
6411356	009306	1129224226	490.56	
6411357	009307	1129224301	442.24	
6411359	009309	1129224305	440.18	
6411360	009310	1129224307	434.33	
6411362	009312	1129224408	449.98	
6411365	009315	1129224427	450.16	
6411366	009316	1129224512	472.84	
6411369	009319	1129224522	439.51	
6411370	009320	1129224525	482.51	
6411372	009322	1129226716	454.04	
6411373	009323	1129233706	446.59	
6411374	009324	1129233707	446.05	
6411375	009325	1129233711	446.05	
6411376	009326	1129233721	1080.07	
6411377	009327	1129233724	71.7	
6411378	009328	1130004000	910.03	
6411379	009329	1130004010	1259.21	
6411380	009330	1130216537	545.72	
6411381	009331	1130216721	597.88	
6411382	009332	1130216726	552.51	
6411384	009334	1130218123	432.31	
6411385	009335	1130218205	435.02	
6411387	009337	1130218301	443.42	
6411388	009338	1130218302	482.51	
6411389	009339	1130218303	476.06	
6411390	009340	1130218306	488.93	
6411391	009341	1130218308	442.91	
6411392	009342	1130218315	482.51	
6411393	009343	1130218316	487.33	
6411394	009344	1130218316	64.4	
6411396	009346	1130218407	453.27	
6411397	009347	1130218503	435.02	
6411398	009348	1130218602	496.98	
6411402	009352	1130219221	440.38	
6411403	009353	1130219228	437.74	
6411407	009357	1130219403	463.18	
6411409	009359	1130219420	435.02	
6411411	009361	1130219502	434.38	
6411413	009363	1130219603	444.56	
6411414	009364	1130219607	482.51	
6411415	009365	1130219608	381.68	
6411416	009366	1130219610	384.26	
6411417	009367	1130219704	462.77	
6411418	009368	1130219706	501.82	
6411420	009370	1130219804	435.02	
6411421	009371	1130219807	450.16	
6411422	009372	1130219816	490.56	
6411423	009373	1130219902	435.02	
6411425	009375	1130219912	442.24	
6411426	009376	1130219923	443.61	
6411427	009377	1130220003	435.02	
6411428	009378	1130220006	435.02	
6411429	009379	1130220020	472.84	
6411430	009380	1130220021	472.84	
6411431	009381	1130220127	439.51	
6411432	009382	1130220610	440.18	
6411433	009383	1130220617	435.02	
6411434	009384	1130220627	435.7	
6411435	009385	1130220631	474.43	
6411436	009386	1130220701	439.51	
6411437	009387	1130220702	435.02	
6411438	009388	1130220705	435.02	
6411439	009389	1130220706	435.02	
6411440	009390	1130220709	472.84	
6411441	009391	1130220720	435.7	
6411442	009392	1130220721	435.7	
6411443	009393	1130220809	436.42	
6411444	009394	1130220810	436.42	
6411445	009395	1130220812	436.42	
6411446	009396	1130220837	1170.73	
6411447	009397	1130221805	439.51	
6411448	009398	1130221812	469.62	
6411449	009399	1130221901	444.28	
6411450	009400	1130222006	435.02	
6411451	009401	1130222009	439.51	
6411454	009404	1130222108	439.51	
6411455	009405	1130222110	476.06	
6411456	009406	1130222111	437.04	
6411457	009407	1130222113	461.56	
6411458	009408	1130222114	472.84	
6411460	009410	1130222206	440.2	
6411461	009411	1130222224	500.2	
6411462	009412	1130222508	449.47	
6411465	009415	1130222518	437.04	
6411466	009416	1130222607	471.22	
6411467	009417	1130222609	446.47	
6411470	009420	1131208418	653.48	
6411471	009421	1131208419	653.48	
6411472	009422	1131208426	637.37	
6411474	009424	1131208448	563.13	
6411475	009425	1131208450	550.84	
6411476	009426	1131208458	479.63	
6411477	009427	1131208503	590.69	
6411478	009428	1131208504	585.86	
