RA_ITEMID	ADVNUM	BLOCK	LOT	QUAL	TOTAL_IN_SALE	PERCENTAGE_BID	PREMIUM_BID
191405	000355	312	10		1053.5		
191406	000356	315	13		155		
191407	000357	316	22		643.15		
191408	000358	319	1		334.39		
191409	000359	320	3		610.33		
191410	000360	322	3		452.52		
191411	000361	322	7		605.54		
191412	000362	323	4		291.66		
191413	000363	327	3		457.25		
191414	000364	329	14		335.49		
191415	000365	332	19		775.93		
191416	000366	332	35		268.9		
191417	000367	333	14		270.14		
191418	000368	336	19		194.78		
191419	000369	341	17		811.21		
191420	000370	341	24		324.67		
191421	000371	342	11		155		
191422	000372	343	21		155		
191423	000373	347	3		225.48		
191424	000374	348	3		970.71		
191425	000375	350	20		317.64		
191426	000376	352	1		652.74		
191427	000377	352	5		270.14		
191428	000378				270.14		
191429	000379	354	9		5691.57		
191430	000380	354	16		220		
191431	000381	354	20		443.87		
191432	000382	356	12		270.14		
191433	000383	356	32		585.92		
191434	000384	356	36		403.02		
191435	000385	358	4.02		155		
191436	000386	359	10		642.41		
191437	000387	359	27		377.84		
191438	000388	359	59.02		112.09		
191439	000389	364	7		384.61		
191440	000390	364	11		565.66		
191441	000391	366	10		155		
191442	000392	366	23		519.25		
191443	000393	366	38		155		
191444	000394	368	8		428.61		
191445	000395	368	12		549.27		
191446	000396	371	8		318.44		
191447	000397	373	3		269.22		
191448	000398	376	15		10442.66		
191449	000399	377	1		9163.58		
191450	000400	377	13		269.62		
191451	000401	377	24		1252.78		
191452	000402	381	3		270.14		
191453	000403	385	17		386.42		
191454	000404	386	14		750.26		
191455	000405	388	31		426.91		
191456	000406	389	1		628.8		
191457	000407	389	31		268.62		
191458	000408	390	3		268.55		
191459	000409	390	19		589.97		
191460	000410	390	25		449.1		
191461	000411	392	9		586.01		
191462	000412	393	11		379.63		
191463	000413	393	24		269.06		
191464	000414	393	25		703.47		
191465	000415	393	26		539.76		
191466	000416	394	8		580.86		
191467	000417	396	33		865.52		
191468	000418	399	10		487.89		
191469	000419	399	17		155		
191470	000420	400	4		270.14		
191471	000421	400	21		6234.17		
191472	000422	400	27		358.04		
191473	000423	400	29		205.14		
191474	000424	402	6		2341.29		
191475	000425	402	20		1624.5		
191476	000426	406	3		527.27		
191477	000427	406	8		270.14		
191478	000428	406	11		320.03		
191479	000429	409	6		274.47		
191480	000430	411	13		270.14		
191481	000431	411	17		369.92		
191482	000432	413	7		270.14		
191483	000433	415	15		591.22		
191484	000434	416	8		531.21		
191485	000435	417	22		303.69		
191486	000436	419	6		685.84		
191487	000437	419	18		268.94		
191488	000438	419	31		8136.48		
191489	000439	419	35		269.55		
191490	000440	420	4		706.5		
191491	000441	421	21		646.26		
191492	000442	421	29		270.14		
191493	000443	421	32		502.14		
191494	000444	421	71		5503.36		
191495	000445	422	1.01		818.68		
191496	000446	422	26		98.65		
191497	000447	426	1		16978.21		
191498	000448	426	5		592.52		
191499	000449	430	8		993.71		
191500	000450	430	9		350		
191501	000451	432	13		446.68		
191502	000452	433	1.01		820.48		
191503	000453	433	14		692.14		
191504	000454	438	1		635.61		
191505	000455	439	3		571.35		
191506	000456	439	19		8897.54		
191507	000457	439	60		488.43		
191508	000458	440	12		601.43		
191509	000459	440	21		726.6		
191510	000460	443	11		627.1		
191511	000461	445	16		631.55		
191512	000462	446	4		761.15		
191513	000463	446	15.01		574.72		
191514	000464	448	10		829.84		
191515	000465				762.83		
191516	000466	457	24.01		270.14		
191517	000467	457	34.01		568.87		
191518	000468	461	1		10242.18		
191519	000469	463	16		487.03		
191520	000470	463	31		907.22		
191521	000471	463	46		4619.53		
191522	000472	464	7		1548.72		
191523	000473	464	12		276.45		
191524	000474	469	4		211.45		
191525	000475	469	13		1874.74		
191526	000476	469	16		256.16		
191527	000477	469	21		2625.51		
191528	000478	470	48		287.69		
191529	000479	471	1		264.99		
191530	000480	471	10		402.8		
191531	000481	472	9		203.64		
191532	000482	472	22		100		
191533	000483	472	23		340.34		
191534	000484	472	27		575.71		
191535	000485	472	36		265.4		
191536	000486	474	8		586.07		
191537	000487	475	19		270.14		
191538	000488	475	25		1704.31		
191539	000489	475	26		624.3		
191540	000490	475	31		574.1		
191541	000491	480	9		431.8		
