ADV_AMT,ADV_NUM,FOLIO1,USER_ID,WINNING_BID
177.04,01088,50340002,3592,0.00
275.76,01089,50340009,2849,0.00
171.81,01091,50340082,3014,0.00
385.77,01092,50342028,2850,0.00
155.95,01093,60002022,3359,5.00
116.86,01094,60002026,3522,2.00
282.91,01095,60003006A,3340,7.00
110.62,01096,60008005,3523,9.00
91.31,01098,60012020S,3479,0.00
117.20,01099,60012020V,3522,7.00
1137.08,01100,60012028,3340,5.00
468.47,01101,60012031B,3523,8.00
86.70,01103,60015004H,3416,1.00
67.69,01107,60025044,3602,11.00
76.55,01108,60025047,3602,16.00
156.61,01109,60025048,3602,7.00
74.61,01110,60025055,3602,16.00
1365.03,01113,60102006Y,3602,16.00
146.88,01114,60104003N,131,14.00
166.85,01115,60104018E,3569,11.00
431.25,01116,60141003,3592,3.00
167.43,01117,60142096,3340,11.00
398.68,01118,60145012,3592,8.00
517.79,01119,60146088,3592,3.00
532.91,01120,60147012,3592,6.00
532.91,01121,60147086,3592,1.00
532.91,01122,60149046,3592,6.00
532.91,01123,60149054,3592,6.00
532.91,01124,60149074,131,7.00
56.80,01125,70057006B,3393,16.00
141.65,01127,70063006,3479,0.00
247.06,01128,70063008,3592,0.00
143.36,01129,70065005,3589,0.00
339.60,01130,70066010,3479,0.00
271.19,01131,70072012,3589,0.00
246.40,01132,70073008,2850,0.00
227.86,01133,70083031,2849,0.00
242.98,01134,70083064,3479,0.00
244.40,01135,70083069,2850,0.00
108.16,01137,70083166,3577,0.00
274.49,01138,70084089,3592,0.00
954.56,01139,80002013,2356,8.00
1465.33,01140,80002014,3340,7.00
431.75,01142,80003096,3583,4.00
12366.50,01143,80004026,2823,6.00
2289.08,01145,80010001A,3340,6.00
1060.89,01149,80034068,2823,7.00
273.51,01150,80037069,2428,11.00
260.28,01152,80038020,3465,13.00
324.13,01153,80042018,3465,13.00
421.92,01154,80042026,3501,10.00
317.52,01155,80042051,174,11.00
284.57,01156,80042052,174,11.00
296.69,01157,80042058,3465,14.00
207.03,01159,80048079,2428,11.00
889.11,01160,80050009,3340,6.00
546.72,01161,80050046,3464,5.00
79.11,01162,80050050,3342,0.00
1250.22,01163,80062021,3340,5.00
901.37,01164,80065006,3583,6.00
1197.06,01165,80069007,3373,6.00
419.29,01166,80100071,3501,16.00
1044.82,01167,80104011B,131,7.00
444.72,01168,80105042,3583,4.00
104.85,01170,80202001,2849,0.00
1257.50,01171,80208002,2328,7.00
