RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971447,230445,1973-27-1-04-322,1749.2,
2971448,230446,1973-27-1-04-343,1869.31,
2971449,230447,1973-27-1-04-344,1619.92,
2971450,230448,1973-27-1-05-006,664.44,
2971451,230452,1973-27-1-05-316,542.37,
2971452,230455,1973-27-2-11-002,1710.63,
2971453,230456,1973-27-2-11-003,2882.53,
2971454,230457,1973-28-1-02-010,46977.03,
2971455,230458,1973-28-1-02-011,27565.53,
2971456,230459,1973-28-1-02-012,5311.32,
2971457,230460,1973-28-1-03-006,9973.47,
2971458,230461,1973-28-1-03-007,9558.99,
2971459,230462,1973-28-1-03-010,89798.81,
2971460,230463,1973-28-3-00-003,367.33,
2971461,230464,1973-28-3-00-004,37.25,
2971462,230466,1973-29-3-11-001,2661.38,
2971463,230468,1973-30-4-05-015,1235.08,
2971464,230470,1973-30-4-07-049,2995.03,
2971465,230471,1973-30-4-09-014,1910.94,
2971466,230472,1973-30-4-21-004,5566.39,
2971467,230473,1973-32-2-03-035,2673.57,
2971468,230475,1973-32-2-07-015,2849.81,
2971469,230477,1973-32-2-10-017,1473.97,
2971470,230479,1973-32-3-03-002,1921.97,
2971471,230482,1973-35-1-05-015,1155.44,
2971472,230483,1973-35-1-07-006,2320.59,
2971473,230484,1973-35-1-17-071,866.27,
2971474,230485,1973-35-2-02-044,808.36,
2971475,230487,1973-35-2-04-031,14810.11,
2971476,230488,1973-35-2-07-048,1443.79,
2971477,230489,1973-35-2-07-112,544.76,
2971478,230490,1973-36-1-01-004,1695.88,
2971479,230491,1973-36-1-04-007,1775.01,
2971480,230492,1973-36-1-40-011,1629.21,
2971481,230493,1973-36-1-40-033,1287.48,
2971482,230494,1973-36-1-40-034,1291.86,
2971483,230495,1973-36-1-40-037,1167.02,
2971484,230497,1973-36-1-40-075,1304.93,
2971485,230499,1973-36-1-40-134,564.62,
2971486,230500,1973-36-1-44-019,1287.48,
2971487,230501,1973-36-1-44-063,1244.07,
2971488,230502,1973-36-1-44-118,1292.49,
2971489,230503,1973-36-1-44-137,1899.42,
2971490,230504,1973-36-1-48-002,1599.97,
2971491,230505,1973-36-1-48-039,2462.22,
2971492,230506,1973-36-1-50-017,2197.57,
2971493,230507,1973-36-2-01-052,1439.51,
2971494,230509,1973-36-2-03-023,2066.96,
2971495,230510,1973-36-2-05-021,762.71,
2971496,230511,1973-36-2-07-027,1033.14,
2971497,230512,1973-36-2-13-006,1586.53,
2971498,230514,1973-36-2-22-099,953.68,
2971499,230516,1973-36-2-25-041,486.65,
2971500,230517,1973-36-4-02-027,1117.92,
2971501,230518,1973-36-4-02-158,591.09,
2971502,230519,1973-36-4-02-179,570.99,
2971503,230520,1973-36-4-08-008,665.5,
2971504,230521,1973-36-4-08-128,1653.43,
2971505,230522,1975-02-4-01-003,8350.92,
2971506,230523,1975-02-4-01-038,5747.38,
2971507,230524,1975-02-4-01-041,11264.93,
2971508,230526,1975-04-3-01-003,10128.57,
2971509,230527,1975-05-1-03-003,2295.51,
2971510,230528,1975-05-1-08-020,1746.7,
2971511,230529,1975-05-1-11-025,2283.58,
2971512,230531,1975-05-1-19-003,1486.05,
2971513,230532,1975-05-2-01-017,20743.99,
2971514,230533,1975-05-2-05-003,4602.79,
2971515,230534,1975-05-2-08-049,1470.39,
2971516,230535,1975-05-3-02-022,8046.13,
2971517,230537,1975-05-4-11-017,1276.38,
2971518,230538,1975-05-4-11-029,2639.75,
2971519,230542,1975-06-1-09-014,1804.18,
2971520,230545,1975-06-1-16-112,1530.1,
2971521,230547,1975-06-4-18-009,1604.13,
2971522,230548,1975-07-1-02-007,899.22,
2971523,230550,1975-07-1-02-024,1273.96,
2971524,230554,1975-07-1-02-077,1277.74,
2971525,230556,1975-07-1-02-108,1051.55,
2971526,230558,1975-07-1-02-123,1312.1,
2971527,230559,1975-07-1-02-130,1012.67,
2971528,230560,1975-07-1-02-162,1255.37,
2971529,230561,1975-07-1-02-163,884.28,
2971530,230563,1975-07-1-02-169,635.38,
2971531,230565,1975-07-1-02-181,1297.92,
2971532,230567,1975-07-1-02-187,920.8,
2971533,230568,1975-07-1-02-198,1140.42,
2971534,230572,1975-07-1-02-272,1250.12,
2971535,230573,1975-07-4-04-008,2461.32,
2971536,230574,1975-07-4-09-020,2496.31,
2971537,230579,1975-16-3-05-004,2591.93,
2971538,230580,1975-16-3-05-019,1861.67,
2971539,230581,1975-16-3-09-016,39.58,
2971540,230586,1975-16-4-20-021,706.41,
2971541,230587,1975-16-4-20-048,1401.68,
2971542,230588,1975-16-4-22-062,1503.25,
2971543,230592,1975-17-2-13-063,1454.69,
2971544,230594,1975-17-3-17-004,2583.66,
2971545,230595,1975-17-3-18-006,14792.81,
2971546,230604,1975-18-4-07-029,2755.56,
2971547,230610,1975-18-4-10-061,1348.64,
2971548,230613,1975-18-4-10-110,481.88,
2971549,230616,1975-19-1-05-018,1426.42,
2971550,230618,1975-19-1-11-012,1637.65,
2971551,230619,1975-19-1-14-014,926.47,
2971552,230620,1975-19-1-14-043,2562.84,
2971553,230621,1975-19-1-15-028,2380.72,
2971554,230622,1975-19-1-17-054,39.58,
2971555,230624,1975-19-2-05-007,985.7,
2971556,230625,1975-19-2-05-026,1688.49,
2971557,230626,1975-19-2-05-065,1783.36,
2971558,230629,1975-19-2-07-018,810.35,
2971559,230631,1975-19-2-15-029,37.75,
2971560,230632,1975-19-2-17-060,2296.26,
2971561,230633,1975-19-2-17-066,1956.55,
2971562,230634,1975-19-2-19-004,1304.86,
2971563,230635,1975-19-2-19-040,2360.85,
2971564,230638,1975-19-2-24-038,3046.72,
2971565,230641,1975-19-3-23-041,1961.7,
2971566,230642,1975-19-3-31-006,1244.96,
