RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2972336,231911,1973-03-2-01-023,13034.34,
2972337,231912,1973-26-2-38-001,2940.59,
2972338,231913,2075-19-2-30-001,150.36,
2972339,231915,1973-21-1-15-007,183.46,
2972340,231916,2075-14-4-30-003,8055.79,
2972341,231922,2073-28-4-11-013,37.32,
2972342,231923,2073-28-4-11-014,37.32,
2972343,231925,2077-33-3-09-015,5299.16,
2972344,231927,1985-00-0-00-261,124.53,
2972345,231928,1973-03-1-34-022,1038.02,
2972346,231929,2075-31-3-03-066,6574.74,
2972347,231931,2075-24-1-03-020,3345.68,
2972348,231932,2075-24-1-04-003,6317.09,
2972349,231935,1971-33-4-00-086,14191.46,
2972350,231936,1973-01-2-27-015,799.05,
2972351,231938,2073-16-3-31-003,3512.51,
2972352,231940,2077-36-2-00-019,12534.17,
2972353,231941,2073-17-2-33-003,3608.99,
2972354,231942,2073-17-2-33-005,1462.05,
2972355,231944,1975-27-4-08-007,2693.57,
2972356,231954,1975-34-2-31-008,2233.97,
2972357,231955,2077-35-1-01-023,2100.25,
2972358,231957,2073-01-3-01-002,36.13,
2972359,231959,2073-01-3-04-034,2418.24,
2972360,231960,2073-01-3-05-001,36.13,
2972361,231963,1971-28-3-05-164,2058.11,
2972362,231965,2077-32-1-21-005,6744.19,
2972363,231966,2075-22-3-51-011,1704.86,
2972364,231968,2077-34-2-19-008,3016.83,
2972365,231970,1985-08-4-00-021,593.02,
2972366,231972,2073-24-2-01-036,45.13,
2972367,231973,2075-22-3-53-003,3277.44,
2972368,231974,1973-28-3-23-006,37.25,
2972369,231975,1973-28-3-36-034,1495.13,
2972370,231977,1971-33-4-00-096,34.42,
2972371,231979,2073-14-1-13-005,2725.4,
2972372,231980,2073-19-3-13-026,36.75,
2972373,231981,2073-19-4-18-004,36.75,
2972374,231983,2073-14-2-29-012,1370.54,
2972375,231985,2077-30-3-16-020,8439.81,
2972376,231986,2073-26-4-08-012,7550.67,
2972377,231987,2073-01-3-13-006,2333.32,
2972378,231988,1987-00-0-00-899,32.05,
2972379,231990,2075-30-3-17-056,41.13,
2972380,231991,1973-22-2-10-059,2473.79,
2972381,231992,1973-22-2-11-111,2428.93,
2972382,231993,1973-22-2-11-156,2362.1,
2972383,231994,2067-00-0-00-205,234.14,
2972384,231999,2075-36-2-00-987,476.35,
2972385,232001,2073-19-1-09-014,4243.08,
2972386,232002,2073-19-1-10-018,4442.26,
2972387,232004,1973-12-2-17-013,1095.12,
2972388,232005,1973-12-2-17-111,2098.48,
2972389,232007,1975-27-1-12-011,3066.07,
2972390,232008,1975-27-1-13-014,157.95,
2972391,232010,1975-21-3-31-005,2119.32,
2972392,232012,2073-28-2-09-005,37.32,
2972393,232013,1975-04-2-15-001,57541.38,
2972394,232014,2073-03-3-37-009,35.23,
2972395,232015,1975-22-2-27-003,990.07,
2972396,232016,1975-22-2-28-002,997.84,
2972397,232018,2073-15-4-24-012,2971.71,
2972398,232019,2073-02-2-03-008,2955.95,
2972399,232022,2075-25-4-19-001,65103.4,
2972400,232023,1973-22-2-20-021,1783.89,
2972401,232024,1973-22-2-20-022,1773.74,
2972402,232025,1973-22-2-20-040,1896.39,
2972403,232026,1975-27-1-17-002,3355.84,
2972404,232027,2073-24-3-22-006,7373.37,
2972405,232028,2073-07-2-53-001,1004.77,
2972406,232029,1973-25-3-36-064,2017.97,
2972407,232030,2073-21-1-03-012,3894.07,
2972408,232033,1973-28-4-10-005,2813.96,
2972409,232034,2075-30-1-25-002,2991.29,
2972410,232035,2075-30-3-20-001,1511.12,
2972411,232036,1975-33-1-21-033,3022.87,
2972412,232037,1975-33-1-26-031,3006.35,
2972413,232038,2073-19-2-05-004,37.33,
2972414,232040,1975-05-2-19-001,2131.23,
2972415,232042,2073-16-4-26-012,4096.45,
2972416,232043,1975-16-3-23-011,3096.8,
2972417,232044,1975-27-4-18-001,39.58,
2972418,232045,2073-13-1-01-039,1671.3,
2972419,232049,2073-13-3-24-015,1904.67,
2972420,232052,2073-13-4-11-077,1754.23,
2972421,232053,2075-30-3-21-003,2892.59,
2972422,232054,1975-05-3-36-011,857.33,
2972423,232055,2073-26-1-17-004,7751.84,
2972424,232057,2073-13-1-25-008,122.03,
2972425,232058,1973-22-2-22-034,1769.92,
2972426,232059,1973-22-2-25-001,2695.91,
2972427,232060,1983-00-0-00-350,2182.32,
2972428,232061,1981-00-0-00-342,987.02,
2972429,232062,1975-19-3-17-014,2015.51,
2972430,232063,2075-25-1-19-006,8374.91,
2972431,232064,2075-25-1-19-008,8291,
2972432,232065,2075-25-1-19-009,7730.05,
2972433,232067,2073-06-4-24-024,4704.42,
2972434,232069,1975-21-1-40-001,1878.11,
2972435,232070,2073-14-3-30-004,27.91,
2972436,232072,1975-05-3-37-018,39.58,
2972437,232073,1975-05-3-42-001,39.58,
2972438,232074,1975-05-3-42-002,39.58,
2972439,232075,1975-05-3-42-003,39.58,
2972440,232076,2077-17-1-21-026,3647.91,
2972441,232077,2077-17-1-21-044,3683.12,
2972442,232078,2075-06-2-06-015,8036.58,
2972443,232079,1973-13-3-42-001,31.94,
2972444,232080,1973-22-3-18-011,1773.22,
2972445,232081,1975-33-4-17-001,793.12,
2972446,232085,2073-13-2-15-044,1717.84,
2972447,232086,2073-21-1-31-003,4401.23,
2972448,232087,2073-11-3-01-009,1919.27,
2972449,232091,2071-31-2-08-005,1345.14,
2972450,232092,1987-00-0-00-212,75.74,
2972451,232093,2071-31-2-08-035,3268.24,
2972452,232094,2071-31-3-17-037,4366.31,
2972453,232095,2073-36-1-02-006,4666.6,
2972454,232096,1975-08-1-23-002,5889.37,
2972455,232100,2073-13-4-32-005,3839.41,
2972456,232101,2073-24-1-02-006,3368.12,
2972457,232103,2073-24-1-09-010,3369.69,
2972458,232104,2073-24-1-10-021,33.78,
2972459,232105,1975-16-4-36-001,1529.36,
2972460,232106,2073-07-3-33-007,1310.42,
2972461,232107,2077-04-4-03-035,7199.96,
2972462,232109,1975-27-4-29-016,4007.83,
2972463,232111,1975-27-3-20-009,127.97,
2972464,232114,1973-22-1-25-104,1730.92,
2972465,232115,1985-00-0-00-307,1517.67,
2972466,232117,2069-00-0-00-091,70.62,
2972467,232118,1971-28-2-18-003,1605.69,
2972468,232119,1975-34-2-34-001,35.23,
2972469,232120,1975-34-2-34-008,35.23,
2972470,232122,1975-34-2-36-010,1565.52,
2972471,232123,2071-31-3-30-019,97.7,
2972472,232124,2073-11-3-18-036,4494.09,
2972473,232125,2073-24-2-31-006,3942.9,
2972474,232126,2075-25-2-21-001,135932.92,
2972475,232127,2075-28-2-06-028,3778.36,
2972476,232128,2073-29-3-16-002,35567.72,
2972477,232129,1973-26-4-33-001,1904.35,
2972478,232131,1973-22-1-29-059,1378.06,
2972479,232132,2073-32-2-03-084,2359.88,
2972480,232135,2073-32-3-05-003,2607.83,
2972481,232140,2073-13-3-32-023,2994.58,
2972482,232141,1973-14-3-34-001,8289,
2972483,232142,2075-18-3-13-005,36795.16,
2972484,232143,2073-32-1-03-002,11201.8,
2972485,232146,1973-18-2-15-004,7098.17,
2972486,232147,1973-18-2-15-005,14614.47,
2972487,232148,1973-18-2-15-007,6850.62,
2972488,232149,1975-33-4-23-009,1680.97,
2972489,232150,2077-17-1-27-003,2634.71,
2972490,232151,2077-17-1-27-032,2862.89,
2972491,232152,2075-29-2-40-002,6745.75,
2972492,232155,1981-14-1-03-008,2884.88,
2972493,232161,1981-14-2-01-015,2384.99,
2972494,232163,1981-14-4-01-003,2262.11,
2972495,232177,1981-14-4-02-015,2606.39,
2972496,232179,1981-14-4-03-019,3098.26,
2972497,232181,2073-01-3-29-015,2987.17,
2972498,232183,1975-06-2-12-002,10292.23,
2972499,232184,2075-21-1-25-017,1907.68,
2972500,232186,2075-21-1-25-119,1672.38,
2972501,232188,2073-23-2-26-007,1681.34,
2972502,232189,2073-23-2-26-015,3446.12,
2972503,232190,1975-07-4-18-003,11948.44,
2972504,232192,1975-07-4-31-011,2668.13,
2972505,232193,1975-07-4-31-013,39.58,
2972506,232195,1975-07-4-34-010,2594.19,
2972507,232196,2077-36-3-29-138,1771.24,
2972508,232198,2063-00-0-00-239,2344.93,
2972509,232199,1977-07-3-04-017,3840.52,
2972510,232200,2077-20-2-21-007,14904.13,
2972511,232202,1985-00-0-00-337,1087.29,
2972512,232203,1985-00-0-00-338,115.39,
2972513,232204,1979-04-1-00-009,4085.03,
2972514,232205,2075-26-4-03-901,4951.9,
2972515,232206,2075-26-4-03-918,6023.84,
2972516,232207,1987-00-0-99-803,26.59,
2972517,232208,1987-00-0-99-800,26.69,
2972518,232209,1987-00-0-99-801,26.59,
2972519,232210,1987-00-0-99-802,26.77,
2972520,232211,2061-00-0-99-801,24.65,
2972521,232212,2061-00-0-99-807,24.65,
2972522,232213,2061-00-0-99-814,24.65,
2972523,232214,2061-00-0-99-820,35.33,
2972524,232215,2061-00-0-99-824,35.33,
2972525,232216,2061-00-0-99-851,28.09,
2972526,232217,2061-00-0-99-861,25,
2972527,232218,2061-00-0-99-871,26.96,
2972528,232219,1975-22-3-35-002,2017.03,
2972529,232220,1975-22-3-40-003,1061.21,
2972530,232221,2073-20-1-11-003,7632.18,
2972531,232222,2073-20-2-05-005,8853.16,
2972532,232223,2073-20-2-05-014,0,
2972533,232229,1977-19-1-16-006,4429.02,
2972534,232233,1977-19-1-25-003,5091.79,
2972535,232235,1973-23-3-28-005,35.23,
2972536,232236,1973-23-3-28-007,35.23,
2972537,232237,1973-23-3-28-008,35.23,
2972538,232238,1973-23-3-28-014,35.23,
2972539,232239,1973-23-3-28-015,35.23,
2972540,232240,1975-20-4-39-007,1586.93,
2972541,232241,1975-07-2-23-022,2031.21,
2972542,232242,2065-00-0-00-299,1431.93,
2972543,232244,2075-36-1-12-002,40.98,
2972544,232245,1975-33-4-27-007,1857.15,
2972545,232246,1975-33-4-30-011,1821.37,
2972546,232247,1975-33-4-25-011,2547.13,
2972547,232248,1981-00-0-00-399,120.22,
2972548,232249,2075-19-4-29-007,58.49,
2972549,232250,2075-19-4-29-008,66.71,
2972550,232251,2073-20-2-14-014,5386.65,
2972551,232253,1973-22-3-27-010,2468.67,
2972552,232255,1975-07-2-25-002,1844.47,
2972553,232256,1975-07-2-25-020,1811.58,
2972554,232257,1975-07-2-26-021,1980.39,
2972555,232258,2073-36-2-03-114,3075.42,
2972556,232259,2073-36-2-07-038,2659.65,
2972557,232260,1975-27-1-27-009,1634.81,
2972558,232261,1975-27-2-17-002,3494.04,
2972559,232262,1975-33-4-35-011,1821.37,
2972560,232264,1975-35-2-04-004,5394.41,
2972561,232266,1975-35-3-05-021,4792.31,
2972562,232267,1975-35-3-06-018,4843.66,
2972563,232270,1975-35-3-23-004,113.39,
2972564,232272,2073-29-1-01-025,3540.23,
2972565,232273,2075-24-4-16-001,144368.74,
2972566,232275,2073-25-2-26-031,53.27,
2972567,232276,2073-25-2-29-004,41.05,
2972568,232277,2077-16-4-29-006,1346.92,
2972569,232278,2077-16-4-29-007,650.68,
2972570,232279,2077-16-4-29-008,773.44,
2972571,232280,2077-16-4-29-025,2752.74,
2972572,232281,2061-00-0-00-236,87.97,
2972573,232282,2077-09-1-16-015,35.3,
2972574,232283,1975-05-1-01-052,8324.45,
2972575,232284,2075-24-3-23-001,35873.68,
2972576,232285,2073-30-3-13-015,2549.32,
2972577,232286,2073-30-3-15-004,2051.14,
2972578,232287,2073-30-3-17-008,2158.53,
2972579,232288,2073-30-3-19-012,1034.26,
2972580,232289,1985-00-0-00-362,1338.36,
2972581,232290,2075-22-3-55-003,2199.58,
2972582,232291,2075-22-3-55-010,3714.48,
2972583,232292,1973-22-4-34-002,1489.58,
2972584,232293,2075-22-4-33-035,1537.33,
2972585,232294,2075-22-4-33-073,1149.38,
2972586,232296,2075-23-1-28-003,4931.01,
2972587,232297,2073-36-4-15-001,4188.76,
2972588,232298,2073-36-4-18-001,5254.57,
2972589,232302,1975-07-3-31-006,2084.93,
2972590,232303,1975-07-3-32-023,950.15,
2972591,232304,1975-08-1-30-007,7607.08,
2972592,232306,1973-28-4-23-003,6520.88,
2972593,232307,1973-28-4-26-004,5944.14,
2972594,232308,1973-22-1-34-024,1464.24,
2972595,232309,1975-27-2-24-010,1788.51,
2972596,232311,2071-29-4-02-012,5234.14,
2972597,232312,2073-25-1-23-006,2333.22,
2972598,232313,2075-16-4-09-029,1826.29,
2972599,232314,1975-18-4-40-013,1008.15,
2972600,232315,2075-28-4-32-003,468.75,
2972601,232316,2075-28-4-36-011,2014.1,
2972602,232318,2059-18-3-12-010,340.48,
2972603,232320,1979-00-0-00-895,25.28,
2972604,232321,2077-29-3-00-026,38.37,
2972605,232322,1975-27-2-25-018,1877.36,
2972606,232324,1973-21-2-22-006,4739.38,
2972607,232325,1973-21-2-23-004,4213.29,
2972608,232326,1973-21-2-24-003,62.72,
2972609,232327,1973-21-2-24-004,67.85,
2972610,232329,1973-21-2-25-005,2052.3,
2972611,232330,1973-21-2-25-006,7527.16,
2972612,232331,2073-36-3-05-092,5757.67,
2972613,232332,2073-36-3-07-065,3600.77,
2972614,232334,2075-23-1-35-028,1884.05,
2972615,232335,2075-23-1-35-034,39.1,
2972616,232345,2071-18-1-08-025,2829.58,
2972617,232346,1981-00-0-00-473,107.82,
2972618,232348,1985-16-2-01-015,1007.37,
2972619,232353,2075-22-3-57-017,1568.68,
2972620,232354,2075-22-3-57-020,753.2,
2972621,232355,1973-25-4-29-043,35.23,
2972622,232356,1973-11-3-40-002,7941.36,
2972623,232357,1973-25-1-25-001,2205.7,
2972624,232358,1975-21-2-45-010,2432.92,
2972625,232359,2073-29-1-01-029,1931.14,
2972626,232360,2067-00-0-00-268,119.92,
2972627,232362,1975-08-1-34-051,7154.2,
2972628,232363,1979-00-0-00-485,2642.37,
2972629,232364,2075-24-4-18-013,2256.55,
2972630,232365,2075-24-4-18-014,4722.49,
2972631,232368,1977-07-2-08-024,4576.38,
2972632,232369,1977-07-1-07-010,4633.44,
2972633,232370,1977-07-1-07-017,4633.44,
2972634,232371,1977-07-1-10-010,47.05,
2972635,232372,2075-24-3-26-001,36476.14,
2972636,232373,2077-09-1-32-008,35.3,
2972637,232374,2073-18-1-13-001,19485.76,
2972638,232375,2073-01-2-25-001,1176.82,
2972639,232377,1975-22-3-44-008,1562.23,
2972640,232379,1975-18-1-22-004,1997.6,
2972641,232380,2071-18-3-23-028,2848.71,
2972642,232381,2071-30-1-18-011,4706,
2972643,232383,2071-07-3-09-011,4829.35,
2972644,232385,1975-06-2-01-023,3530.85,
2972645,232386,1975-17-1-18-044,2421.76,
2972646,232387,1975-17-1-18-078,2414.24,
2972647,232389,2075-36-1-00-960,13420.82,
2972648,232390,2073-25-1-59-071,1365.33,
2972649,232391,1975-07-2-29-001,4357.62,
2972650,232393,1975-33-4-47-003,2461.32,
2972651,232395,2075-24-3-28-014,4736.08,
2972652,232396,2065-00-0-00-377,159.08,
2972653,232397,1975-18-4-42-004,924.44,
2972654,232398,1971-34-2-11-026,30919.67,
2972655,232399,2075-15-1-37-024,73.15,
2972656,232400,2075-03-2-15-001,5157.9,
2972657,232401,2075-03-2-15-017,2747.91,
2972658,232403,2073-36-1-00-027,36.21,
2972659,232407,2071-20-4-04-018,5723.23,
2972660,232412,2063-00-0-00-334,516.06,
2972661,232415,2073-11-4-09-016,2400.18,
2972662,232416,2071-28-2-07-006,6652.77,
2972663,232417,2075-22-3-58-008,1652.03,
2972664,232418,2071-31-2-22-015,2912.88,
2972665,232419,2071-29-2-09-057,5114.88,
2972666,232421,1977-08-1-02-006,4550.3,
2972667,232424,2075-25-3-10-007,32642.15,
2972668,232425,1975-18-1-25-003,2065.58,
2972669,232426,2073-35-1-05-004,48.15,
2972670,232427,2073-35-1-05-005,35.31,
2972671,232428,2073-25-1-61-004,1957.49,
2972672,232429,1973-22-3-33-001,853.69,
2972673,232435,2071-20-3-24-010,5953.41,
2972674,232436,2073-04-1-37-018,732.9,
2972675,232437,2075-34-3-26-040,2975.76,
2972676,232438,1981-00-0-00-509,3240.81,
2972677,232439,2075-16-1-11-012,5096.52,
2972678,232440,2075-16-1-11-020,8398.3,
2972679,232441,2075-24-4-35-008,2973.63,
2972680,232442,1975-25-2-01-002,125844.86,
2972681,232447,2073-31-3-06-005,71291.27,
2972682,232448,2073-32-2-27-008,377.97,
2972683,232449,2077-26-1-29-008,2214.92,
2972684,232450,1977-08-2-48-001,44.62,
2972685,232451,1977-08-2-50-001,44.62,
2972686,232452,2075-22-3-21-009,18520.22,
2972687,232454,2073-27-1-02-001,10660.28,
2972688,232456,2073-27-1-02-031,10251.22,
2972689,232458,2071-20-4-23-075,3843.23,
2972690,232459,2075-34-2-32-051,3023.09,
2972691,232460,2075-16-2-13-017,3520.65,
2972692,232461,2073-11-4-10-041,6625.38,
2972693,232463,2073-11-4-23-043,1956.22,
2972694,232467,2073-12-3-08-030,4231.37,
2972695,232469,2073-12-3-13-014,4383.86,
2972696,232470,1971-28-2-06-037,783.83,
2972697,232471,2073-16-3-27-003,39.25,
2972698,232472,2073-12-2-00-801,113.24,
2972699,232476,2075-34-1-19-009,5421.96,
2972700,232477,2075-34-1-23-007,4220.57,
2972701,232478,1975-11-2-00-014,91.36,
2972702,232479,2075-34-2-35-036,1332.08,
2972703,232481,2063-00-0-00-353,55.84,
2972704,232482,2063-00-0-00-354,24.86,
2972705,232483,2073-30-4-18-041,1538,
2972706,232484,2073-30-4-18-042,1538,
2972707,232485,2073-30-4-18-043,1538,
2972708,232486,2073-30-4-18-044,1538,
2972709,232487,2073-30-4-18-045,1538,
2972710,232488,2073-30-4-18-046,1538,
2972711,232489,2073-30-4-18-047,1538,
2972712,232490,2073-30-4-18-048,2295.04,
2972713,232491,2075-36-1-20-016,2439.21,
2972714,232492,2075-36-1-20-018,2439.21,
2972715,232493,2071-19-1-10-002,22895.34,
2972716,232494,1971-28-2-06-041,6081.07,
2972717,232495,2061-00-0-00-255,1273.35,
2972718,232498,2075-36-2-10-906,479.45,
2972719,232499,2073-25-4-37-006,1019.21,
2972720,232500,2073-25-4-35-001,1975.7,
2972721,232501,2075-16-2-17-004,956.98,
2972722,232502,2075-16-2-17-005,38.16,
2972723,232503,2075-16-2-17-006,38.16,
2972724,232504,2075-16-2-18-004,38.16,
2972725,232505,2075-16-2-18-005,38.16,
2972726,232506,2075-16-2-18-006,38.16,
2972727,232507,1971-34-1-06-026,971.93,
2972728,232508,2075-34-1-32-028,3452.76,
2972729,232509,2075-34-1-33-012,1515.65,
2972730,232510,2075-34-1-33-038,1192.26,
2972731,232511,2075-35-2-30-001,45202.96,
2972732,232512,1973-22-3-36-004,2026.33,
2972733,232514,2075-16-2-20-121,120.21,
2972734,232521,2073-31-3-09-017,2844.26,
2972735,232523,2073-29-2-00-027,48.54,
2972736,232524,1977-00-0-21-001,101.75,
2972737,232525,1973-22-3-41-005,2012.36,
2972738,232526,2073-27-1-04-004,11274.35,
2972739,232531,2077-22-1-10-042,1179.24,
2972740,232534,2073-31-3-12-019,2504.92,
2972741,232535,2075-21-1-18-010,37.84,
2972742,232537,2075-20-1-25-015,14406.95,
2972743,232538,1973-22-3-44-004,2050.45,
2972744,232539,2075-35-2-34-001,9830,
2972745,232541,1985-16-2-02-022,1561.4,
2972746,232542,1985-16-2-02-026,196.69,
2972747,232543,1975-05-2-02-022,15073.24,
2972748,232544,1975-05-2-02-023,11045.71,
2972749,232545,1985-00-0-00-435,1476.95,
2972750,232546,1973-23-3-09-022,17569.25,
2972751,232547,2073-20-3-13-001,37898.98,
2972752,232548,2077-23-1-18-004,7757.91,
2972753,232549,2077-23-1-18-019,41.13,
2972754,232551,2075-35-2-35-002,35870.17,
2972755,232552,2069-00-0-00-814,32.27,
2972756,232553,2069-00-0-00-815,48.19,
2972757,232555,2075-27-1-15-014,37.78,
2972758,232558,1975-11-2-00-800,27.87,
2972759,232560,1983-04-1-01-008,2914.47,
2972760,232561,1983-04-1-01-009,1206.47,
2972761,232562,1973-22-3-50-008,1534.5,
2972762,232564,2059-18-2-04-014,359.52,
2972763,232566,1975-07-2-01-043,175878.88,
2972764,232568,2067-00-0-00-313,151.86,
2972765,232570,2075-29-2-41-044,2123.85,
2972766,232571,2075-29-2-41-045,3220.29,
2972767,232573,1973-18-3-15-002,599.7,
2972768,232577,2071-07-3-31-011,5079.97,
2972769,232578,2071-07-3-32-013,4690.9,
2972770,232581,1975-05-2-30-001,1399.17,
2972771,232582,2065-00-0-00-457,103.99,
2972772,232583,2065-00-0-00-452,127.07,
2972773,232587,2077-27-4-21-006,48.71,
2972774,232589,2071-32-2-09-005,10377.98,
2972775,232590,2071-32-3-04-007,9834.24,
2972776,232591,2071-32-3-12-010,9182.79,
2972777,232592,2071-32-4-09-004,8419.57,
2972778,232593,1973-12-4-13-055,132.79,
2972779,232594,2073-29-2-00-029,40.1,
2972780,232595,2073-30-1-00-021,85.1,
2972781,232596,2077-20-1-17-003,36410.21,
2972782,232597,1973-02-1-05-031,2147.7,
2972783,232598,1973-22-3-02-029,2860.19,
2972784,232600,2073-31-3-21-033,1950.05,
2972785,232602,1981-00-0-00-539,218.05,
2972786,232603,2075-27-1-25-001,22344.55,
2972787,232604,2077-27-4-37-005,2679.32,
2972788,232605,1975-27-1-29-021,39.58,
2972789,232606,2059-00-0-00-872,31.52,
2972790,232607,2059-00-0-00-877,31.46,
2972791,232608,2061-00-0-99-880,34.69,
2972792,232609,2071-21-3-20-015,44.49,
2972793,232610,2071-21-3-20-016,44.49,
2972794,232611,2071-28-2-29-004,44.49,
2972795,232612,2071-28-2-29-005,44.49,
2972796,232613,2071-28-2-29-006,44.49,
2972797,232614,2071-28-3-05-017,5252.34,
2972798,232616,2071-28-3-06-021,56.66,
2972799,232619,2067-00-0-00-328,107.42,
2972800,232620,1973-22-3-02-031,5088.79,
2972801,232621,1975-08-1-38-001,137959.78,
2972802,232624,1981-00-0-00-552,5858.91,
2972803,232625,2077-09-2-05-001,45770.15,
2972804,232626,2071-28-2-31-044,55.38,
2972805,232627,2071-28-2-33-006,4931.18,
2972806,232628,2071-28-2-35-005,44.49,
2972807,232629,2071-28-3-15-016,5058.9,
2972808,232631,1981-00-0-00-559,105.45,
2972809,232632,2073-22-4-03-022,37.33,
2972810,232633,2073-22-4-03-023,41.19,
2972811,232634,1985-00-0-00-469,109.35,
2972812,232635,2069-00-0-00-136,18627.88,
2972813,232637,2073-32-3-14-034,3552.35,
2972814,232638,2071-00-0-00-845,35.18,
2972815,232639,1973-22-1-40-022,6768.16,
2972816,232641,1977-19-3-09-104,149.48,
2972817,232642,2077-13-1-04-006,39.72,
2972818,232643,1973-14-3-25-076,1695.28,
2972819,232644,2067-00-0-00-866,30.31,
2972820,232646,1973-18-2-05-022,12406.28,
2972821,232647,2067-00-0-00-867,25.58,
2972822,232648,2067-00-0-00-870,25.58,
2972823,232650,2065-00-0-00-468,142.44,
2972824,232652,2071-33-4-10-074,43006.2,
2972825,232653,2073-28-1-12-001,15620.84,
2972826,232654,1975-12-1-00-801,26.25,
2972827,232655,2071-33-4-12-012,5741.29,
2972828,232656,2071-33-4-16-020,7668.4,
2972829,232658,1977-08-3-34-009,2038.48,
2972830,232659,2065-00-0-00-476,2066.72,
2972831,232664,2077-30-1-19-026,128.32,
2972832,232669,1973-22-2-37-004,704.3,
2972833,232670,1973-22-2-37-005,704.3,
2972834,232671,1973-22-2-37-006,690.72,
2972835,232672,1973-22-2-37-007,690.85,
2972836,232673,1973-22-2-37-008,690.85,
2972837,232674,1973-22-2-37-009,690.98,
2972838,232676,1973-22-2-37-012,1057.07,
2972839,232677,1973-22-2-37-013,1057.07,
2972840,232678,1973-22-2-37-014,1057.07,
2972841,232679,1973-22-2-37-015,704.3,
2972842,232680,1973-22-2-37-016,690.85,
2972843,232681,1973-22-2-37-017,690.98,
2972844,232682,1973-22-2-37-018,690.98,
2972845,232684,1973-22-2-37-020,704.3,
2972846,232685,1975-17-1-22-014,93.44,
2972847,232686,1975-17-1-22-015,47.29,
2972848,232687,1975-17-1-22-016,47.29,
2972849,232688,1975-17-1-23-006,48.29,
2972850,232689,1975-17-1-23-007,48.88,
2972851,232690,1975-17-1-23-008,47.29,
2972852,232691,1975-17-1-24-023,47.29,
2972853,232692,1975-17-1-24-024,47.29,
2972854,232693,1975-17-1-25-025,47.29,
2972855,232694,1975-17-1-25-026,47.29,
2972856,232695,1975-17-1-26-021,47.29,
2972857,232696,1975-17-1-27-021,47.29,
2972858,232697,1975-17-1-27-022,47.29,
2972859,232698,1975-17-1-27-023,47.29,
2972860,232699,1987-00-0-00-249,98.57,
2972861,232700,1987-00-0-00-250,98.57,
2972862,232701,1975-17-1-28-027,47.29,
2972863,232702,1975-17-1-28-028,47.29,
2972864,232703,1975-17-1-28-029,47.29,
2972865,232704,1975-17-1-29-017,47.29,
2972866,232705,1975-17-1-29-018,47.29,
2972867,232706,1975-17-1-29-019,47.29,
2972868,232707,1975-17-1-29-020,47.29,
2972869,232708,1987-00-0-00-251,2111.95,
2972870,232710,2075-23-4-42-001,39.27,
2972871,232714,1977-04-4-08-019,5152.18,
2972872,232715,1977-04-4-12-009,6231.43,
2972873,232719,1977-18-4-08-004,135.71,
2972874,232720,2071-19-4-32-002,4037.92,
2972875,232721,1971-34-4-38-010,183.53,
2972876,232722,1977-07-2-31-103,3397.49,
2972877,232723,1981-00-0-00-571,105,
2972878,232726,1979-00-0-99-855,25.31,
2972879,232727,1975-06-1-26-002,50.6,
2972880,232732,2071-28-4-05-025,6732.19,
2972881,232745,2071-28-1-16-022,7685.78,
2972882,232746,2071-28-1-17-016,253.62,
2972883,232747,2071-28-1-20-045,211.79,
2972884,232752,1981-11-2-01-001,45.78,
2972885,232759,1975-16-2-15-015,50.41,
2972886,232760,1975-16-2-15-016,50.41,
2972887,232761,1975-16-2-15-017,50.41,
2972888,232762,1975-16-2-15-018,50.41,
2972889,232763,1975-16-2-15-019,50.41,
2972890,232764,1975-16-2-15-020,73.32,
2972891,232765,1975-16-2-16-027,50.41,
2972892,232766,1975-16-2-16-028,50.41,
2972893,232767,1975-16-2-16-029,50.41,
2972894,232768,1975-16-2-17-027,50.41,
2972895,232769,1975-16-2-17-028,50.41,
2972896,232770,1975-16-2-18-025,50.41,
2972897,232771,1975-01-3-01-012,50.64,
2972898,232772,1975-01-3-01-013,50.64,
2972899,232773,1975-01-3-02-036,50.64,
2972900,232774,1975-01-3-02-037,50.64,
2972901,232775,1975-01-3-02-038,50.64,
2972902,232776,1975-01-3-03-018,50.64,
2972903,232777,1975-01-3-03-019,50.64,
2972904,232778,1975-01-3-03-020,50.64,
2972905,232779,1975-01-3-03-021,50.64,
2972906,232780,1975-01-3-04-025,50.64,
2972907,232781,1975-01-3-04-026,50.64,
2972908,232782,1975-01-3-04-027,50.64,
2972909,232783,1975-01-3-04-028,50.64,
2972910,232784,1975-01-3-04-029,50.64,
2972911,232786,1975-01-3-05-033,50.64,
2972912,232787,1975-01-3-05-034,50.64,
2972913,232788,1975-01-3-05-035,50.64,
2972914,232789,1975-01-3-05-037,50.64,
2972915,232790,2073-12-2-32-005,46.92,
2972916,232792,1975-20-2-51-001,38516.36,
2972917,232793,1973-01-2-30-002,71751.54,
2972918,232794,2075-17-2-14-008,7637.18,
2972919,232796,2077-27-4-52-036,2353.3,
2972920,232797,2067-00-0-00-351,151.22,
2972921,232798,2067-00-0-00-352,151.22,
2972922,232848,1975-33-1-24-800,24.95,
2972923,232849,2059-00-0-00-158,36.65,
2972924,232851,2077-27-4-53-001,4785.47,
2972925,232853,2071-28-4-10-007,2793.07,
2972926,232854,2059-18-3-16-003,546,
2972927,232855,2061-13-4-22-013,197.99,
