RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6351532	000459	232703-000000-041100	1154.16	
6351533	000460	232703-000000-041130	882.08	
6351534	000461	232703-000000-042010	2568.82	
6351536	000463	232703-000000-043140	67.1	
6351537	000464	232704-000000-043110	1121.18	
6351538	000465	232704-000000-043210	141.78	
6351539	000466	232704-000000-043260	1754.02	
6351540	000467	232704-000000-043290	808.17	
6351541	000468	232704-000000-044020	2601.18	
6351542	000469	232704-000726-000010	1040.35	
6351544	000471	232704-000728-000090	7584.23	
6351545	000472	232704-000730-000280	3954.33	
6351548	000475	232705-000000-021060	53.79	
6351549	000476	232705-000000-021130	2622.85	
6351550	000477	232705-000000-022120	3231.39	
6351551	000478	232705-000000-022150	2423.85	
6351552	000479	232705-000000-022270	739.75	
6351553	000480	232708-000000-011010	628.09	
6351554	000481	232708-000000-011060	1306.32	
6351555	000482	232708-000000-011110	2183.33	
6351556	000483	232708-000000-011120	747.11	
6351557	000484	232708-000000-011140	561.3	
6351559	000486	232708-000000-011300	788.77	
6351560	000487	232708-000000-011350	1019.45	
6351561	000488	232708-000000-011360	494.26	
6351563	000490	232708-000000-011480	449.62	
6351566	000493	232708-000000-021060	44.81	
6351574	000501	232709-000000-033160	47.16	
6351575	000502	232709-000786-002640	3698.19	
6351578	000505	232709-000787-000970	4446.25	
6351579	000506	232709-000790-000200	2527.7	
6351581	000508	232709-000790-000420	1809.5	
6351582	000509	232709-000790-000430	364.75	
6351586	000513	232709-000793-000030	1172.13	
6351587	000514	232709-000795-000080	3143.55	
6351588	000515	232709-000795-000380	1729.96	
6351589	000516	232709-000798-000150	2657.25	
6351591	000518	232710-000000-011010	2759.32	
6351593	000520	232710-000000-021100	1161.88	
6351594	000521	232710-000000-031080	3090.43	
6351595	000522	232710-000000-031160	1693.3	
6351598	000525	232710-000000-041140	3008.46	
6351599	000526	232710-000000-041160	2212.21	
6351601	000528	232710-000810-000090	2795.55	
6351604	000531	232710-000820-000160	1812.23	
6351606	000533	232710-000822-000770	3994.34	
6351610	000537	232710-000826-000690	5038.13	
6351611	000538	232710-000828-000450	4483.64	
6351613	000540	232710-000830-001040	4364.11	
6351614	000541	232711-000000-021120	1030.57	
6351620	000547	232711-000000-022210	445.99	
6351625	000552	232712-000000-013010	981.14	
6351626	000553	232712-000000-013030	227.22	
6351627	000554	232712-000000-013050	258.95	
6351628	000555	232712-000000-013070	4921.98	
6351630	000557	232712-000000-021290	1635.74	
6351631	000558	232712-000000-023120	40.75	
6351632	000559	232712-000000-031050	2258.97	
6351633	000560	232712-000000-031110	1339.18	
6351635	000562	232712-000000-032290	44.28	
6351642	000569	232712-000000-043180	2853.79	
6351643	000570	232712-000000-043200	690.72	
6351644	000571	232712-000000-043230	2067.23	
6351647	000574	232712-000891-002320	2405.61	
6351648	000575	232712-000891-004530	1715.38	
6351651	000578	232712-000899-000010	4000.69	
6351652	000579	232712-000899-000020	65.97	
6351653	000580	232713-000000-011120	126.55	
6351654	000581	232713-000000-012170	465.75	
6351656	000583	232713-000000-012350	336.74	
6351658	000585	232713-000000-022190	1808.51	
6351659	000586	232713-000000-022240	3615.88	
6351661	000588	232713-000000-022370	62.86	
6351662	000589	232713-000000-024060	5367.86	
6351663	000590	232713-000000-024130	7557.9	
6351664	000591	232713-000000-033040	592.98	
6351665	000592	232713-000000-034020	26520.61	
6351668	000595	232713-000931-000620	1830.6	
6351669	000596	232713-000931-000680	390.19	
6351670	000597	232713-000932-000200	1804.74	
6351673	000600	232714-000000-011060	3037.42	
6351677	000604	232714-000000-013010	1009.52	
6351678	000605	232714-000000-013060	1891.92	
6351679	000606	232714-000000-014010	4321.75	
6351680	000607	232714-000000-014030	3688.7	
6351684	000611	232714-000000-023110	1039.22	
6351685	000612	232714-000000-023220	2897.5	
6351686	000613	232714-000000-023240	982.71	
6351687	000614	232714-000000-031250	3133.06	
6351689	000616	232714-000000-034090	2531.81	
6351692	000619	232714-000000-044070	2903.36	
6351693	000620	232714-000940-000180	931.55	
