AdvNum,Parcel,Face Amount
0016982,272726-758516-001190,99.78
0016983,272726-758516-001200,99.78
0016984,272726-758516-001210,99.78
0016985,272726-758516-001220,99.78
0016986,272726-758516-001230,99.78
0016987,272726-758516-001240,99.78
0016988,272726-758516-001250,99.78
0016989,272726-758516-001260,99.78
0016990,272726-758516-001270,99.74
0016991,272726-758516-004010,99.78
0016992,272726-758516-004020,99.72
0016993,272726-758516-004030,99.72
0016994,272726-758516-004040,99.72
0016995,272726-758516-004050,99.72
0016996,272726-758516-004060,99.72
0016997,272726-758516-004070,99.72
0016998,272726-758516-004080,99.72
0016999,272726-758516-004090,99.72
0017000,272726-758516-004100,99.72
0017001,272726-758516-004110,99.72
0017002,272726-758516-004120,99.72
0017003,272726-758516-004130,99.72
0017004,272726-758516-004140,99.72
0017005,272726-758516-004150,99.72
0017007,272726-758516-004170,99.72
0017008,272726-758516-004180,99.78
0017010,272726-758516-004200,99.78
0017011,272726-758516-004210,99.78
0017012,272726-758516-004220,99.72
0017013,272726-758516-004230,99.72
0017014,272726-758516-004240,99.72
0017015,272726-758516-004250,99.72
0017016,272726-758516-004260,99.72
0017017,272726-758516-004270,99.72
0017018,272726-758516-004280,99.72
0017019,272726-758516-004290,99.72
0017020,272726-758516-004300,99.72
0017021,272726-758516-004310,99.72
0017022,272726-758516-004320,99.72
0017023,272726-758516-004330,99.72
0017024,272726-758516-004340,99.72
0017025,272726-758516-004350,99.72
0017026,272726-758516-004360,99.72
0017027,272726-758516-004370,99.72
0017028,272726-758516-004380,99.78
0017029,272726-758516-006010,99.72
0017030,272726-758516-006020,99.72
0017031,272726-758516-006030,99.72
0017032,272726-758516-006040,99.78
0017033,272726-758516-006050,99.78
0017034,272726-758516-006060,99.78
0017035,272726-758516-006070,99.78
0017036,272726-758516-006080,99.78
0017037,272726-758516-006090,99.72
0017038,272726-758516-006100,99.72
0017039,272726-758516-006110,99.72
0017040,272726-758516-006120,99.72
0017041,272726-758516-006130,99.72
0017042,272726-758516-006140,99.72
0017043,272726-758516-006150,99.72
0017044,272726-758516-006160,99.72
0017045,272726-758516-006170,99.72
0017046,272726-758516-006180,99.74
0017047,272726-758516-006190,99.74
0017048,272726-758516-006200,99.72
0017049,272726-758516-006210,99.72
0017050,272726-758516-006220,99.72
0017051,272726-758516-006230,99.72
0017052,272726-758516-006240,99.72
0017053,272726-758516-006250,99.72
0017054,272726-758516-006260,99.72
0017055,272726-758516-006270,99.72
0017056,272726-758516-006280,99.72
0017057,272726-758516-006290,99.78
0017058,272726-758516-006300,99.78
0017059,272726-758516-006310,99.78
0017060,272726-758516-006320,99.78
0017061,272726-758516-006330,99.78
0017062,272726-758516-006340,99.72
0017063,272726-758516-006350,99.72
0017064,272726-758516-006360,99.72
